Zeit;Kanal A
(ms);(V)

-497,57996762;0,75049210
-497,56996762;0,79739790
-497,55996762;0,75049210
-497,54996762;0,79739790
-497,53996762;0,75049210
-497,52996762;0,75049210
-497,51996762;0,79739790
-497,50996762;0,75049210
-497,49996762;0,79739790
-497,48996762;0,79739790
-497,47996762;0,79739790
-497,46996762;0,79739790
-497,45996762;0,79739790
-497,44996762;0,79739790
-497,43996762;0,75049210
-497,42996762;0,75049210
-497,41996762;0,75049210
-497,40996762;0,79739790
-497,39996762;0,79739790
-497,38996762;0,79739790
-497,37996762;0,79739790
-497,36996762;0,75049210
-497,35996762;0,79739790
-497,34996762;0,75049210
-497,33996762;0,75049210
-497,32996762;0,79739790
-497,31996762;0,75049210
-497,30996762;0,79739790
-497,29996762;0,79739790
-497,28996762;0,79739790
-497,27996763;0,79739790
-497,26996763;0,75049210
-497,25996763;0,75049210
-497,24996763;0,79739790
-497,23996763;0,75049210
-497,22996763;0,79739790
-497,21996763;0,79739790
-497,20996763;0,79739790
-497,19996763;0,75049210
-497,18996763;0,75049210
-497,17996763;0,79739790
-497,16996763;0,75049210
-497,15996763;0,75049210
-497,14996763;0,79739790
-497,13996763;0,75049210
-497,12996763;0,79739790
-497,11996763;0,79739790
-497,10996763;0,79739790
-497,09996763;0,79739790
-497,08996763;0,84430370
-497,07996763;0,79739790
-497,06996763;0,75049210
-497,05996763;0,75049210
-497,04996763;0,79739790
-497,03996763;0,79739790
-497,02996763;0,75049210
-497,01996763;0,75049210
-497,00996763;0,75049210
-496,99996763;0,75049210
-496,98996763;0,75049210
-496,97996763;0,79739790
-496,96996763;0,75049210
-496,95996763;0,75049210
-496,94996763;0,79739790
-496,93996763;0,75049210
-496,92996763;0,79739790
-496,91996763;0,75049210
-496,90996763;0,75049210
-496,89996763;0,75049210
-496,88996764;0,75049210
-496,87996764;0,75049210
-496,86996764;0,79739790
-496,85996764;0,75049210
-496,84996764;0,79739790
-496,83996764;0,79739790
-496,82996764;0,75049210
-496,81996764;0,79739790
-496,80996764;0,75049210
-496,79996764;0,75049210
-496,78996764;0,75049210
-496,77996764;0,79739790
-496,76996764;0,79739790
-496,75996764;0,79739790
-496,74996764;0,79739790
-496,73996764;0,75049210
-496,72996764;0,75049210
-496,71996764;0,75049210
-496,70996764;0,75049210
-496,69996764;0,75049210
-496,68996764;0,79739790
-496,67996764;0,75049210
-496,66996764;0,75049210
-496,65996764;0,79739790
-496,64996764;0,79739790
-496,63996764;0,75049210
-496,62996764;0,79739790
-496,61996764;0,75049210
-496,60996764;0,75049210
-496,59996764;0,75049210
-496,58996764;0,75049210
-496,57996764;0,79739790
