Zeit;Kanal A
(ms);(V)

-497,57001364;0,89013280
-497,56001364;0,89013280
-497,55001364;0,89013280
-497,54001364;0,89013280
-497,53001364;0,84322710
-497,52001364;0,89013280
-497,51001364;0,89013280
-497,50001364;0,89013280
-497,49001364;0,89013280
-497,48001364;0,89013280
-497,47001364;0,89013280
-497,46001364;0,89013280
-497,45001364;0,89013280
-497,44001365;0,89013280
-497,43001365;0,84322710
-497,42001365;0,89013280
-497,41001365;0,89013280
-497,40001365;0,93688480
-497,39001365;0,89013280
-497,38001365;0,89013280
-497,37001365;0,89013280
-497,36001365;0,89013280
-497,35001365;0,89013280
-497,34001365;0,89013280
-497,33001365;0,89013280
-497,32001365;0,89013280
-497,31001365;0,89013280
-497,30001365;0,89013280
-497,29001365;0,89013280
-497,28001365;0,93688480
-497,27001365;0,89013280
-497,26001365;0,89013280
-497,25001365;0,89013280
-497,24001365;0,89013280
-497,23001365;0,84322710
-497,22001365;0,84322710
-497,21001365;0,89013280
-497,20001365;0,89013280
-497,19001365;0,89013280
-497,18001365;0,89013280
-497,17001365;0,93688480
-497,16001365;0,89013280
-497,15001365;0,89013280
-497,14001365;0,89013280
-497,13001365;0,89013280
-497,12001365;0,89013280
-497,11001365;0,93688480
-497,10001365;0,89013280
-497,09001365;0,89013280
-497,08001365;0,89013280
-497,07001365;0,89013280
-497,06001365;0,89013280
-497,05001366;0,89013280
-497,04001366;0,89013280
-497,03001366;0,89013280
-497,02001366;0,89013280
-497,01001366;0,89013280
-497,00001366;0,89013280
-496,99001366;0,89013280
-496,98001366;0,89013280
-496,97001366;0,89013280
-496,96001366;0,89013280
-496,95001366;0,89013280
-496,94001366;0,89013280
-496,93001366;0,84322710
-496,92001366;0,89013280
-496,91001366;0,84322710
-496,90001366;0,89013280
-496,89001366;0,89013280
-496,88001366;0,84322710
-496,87001366;0,89013280
-496,86001366;0,84322710
-496,85001366;0,89013280
-496,84001366;0,89013280
-496,83001366;0,84322710
-496,82001366;0,89013280
-496,81001366;0,93688480
-496,80001366;0,89013280
-496,79001366;0,89013280
-496,78001366;0,89013280
-496,77001366;0,89013280
-496,76001366;0,89013280
-496,75001366;0,89013280
-496,74001366;0,89013280
-496,73001366;0,89013280
-496,72001366;0,84322710
-496,71001366;0,89013280
-496,70001366;0,89013280
-496,69001366;0,89013280
-496,68001366;0,89013280
-496,67001366;0,89013280
-496,66001366;0,89013280
-496,65001367;0,89013280
-496,64001367;0,89013280
-496,63001367;0,93688480
-496,62001367;0,89013280
-496,61001367;0,89013280
-496,60001367;0,84322710
-496,59001367;0,89013280
-496,58001367;0,89013280
-496,57001367;0,89013280
-496,56001367;0,89013280
-496,55001367;0,89013280
-496,54001367;0,89013280
-496,53001367;0,89013280
-496,52001367;0,93688480
-496,51001367;0,89013280
-496,50001367;0,89013280
-496,49001367;0,89013280
-496,48001367;0,89013280
-496,47001367;0,89013280
-496,46001367;0,89013280
-496,45001367;0,89013280
-496,44001367;0,84322710
-496,43001367;0,89013280
-496,42001367;0,89013280
-496,41001367;0,84322710
-496,40001367;0,89013280
-496,39001367;0,84322710
-496,38001367;0,89013280
-496,37001367;0,89013280
-496,36001367;0,89013280
-496,35001367;0,89013280
-496,34001367;0,89013280
-496,33001367;0,89013280
-496,32001367;0,89013280
-496,31001367;0,89013280
-496,30001367;0,89013280
-496,29001367;0,89013280
-496,28001367;0,93688480
-496,27001367;0,84322710
-496,26001368;0,93688480
-496,25001368;0,89013280
-496,24001368;0,89013280
-496,23001368;0,84322710
-496,22001368;0,89013280
-496,21001368;0,84322710
-496,20001368;0,89013280
-496,19001368;0,89013280
-496,18001368;0,89013280
-496,17001368;0,89013280
-496,16001368;0,89013280
-496,15001368;0,89013280
-496,14001368;0,89013280
-496,13001368;0,89013280
-496,12001368;0,89013280
-496,11001368;0,89013280
-496,10001368;0,89013280
-496,09001368;0,89013280
-496,08001368;0,89013280
-496,07001368;0,89013280
-496,06001368;0,89013280
-496,05001368;0,89013280
-496,04001368;0,89013280
-496,03001368;0,93688480
-496,02001368;0,89013280
-496,01001368;0,89013280
-496,00001368;0,89013280
-495,99001368;0,89013280
-495,98001368;0,89013280
-495,97001368;0,89013280
-495,96001368;0,89013280
-495,95001368;0,84322710
-495,94001368;0,89013280
-495,93001368;0,89013280
-495,92001368;0,89013280
-495,91001368;0,89013280
-495,90001368;0,89013280
-495,89001368;0,89013280
-495,88001368;0,89013280
-495,87001368;0,89013280
-495,86001369;0,89013280
-495,85001369;0,89013280
