Zeit;Kanal A
(s);(V)

-2,4868499;1,407173
-2,4867999;1,407173
-2,4867499;1,407173
-2,4866999;1,407173
-2,4866499;1,407173
-2,4865999;1,407173
-2,4865499;1,454078
-2,4864999;1,407173
-2,4864499;1,360267
-2,4863999;1,54789
-2,4863499;1,407173
-2,4862999;1,407173
-2,4862499;1,454078
-2,4861999;1,407173
-2,4861499;1,407173
-2,4860999;1,407173
-2,4860499;1,407173
-2,4859999;1,407173
-2,4859499;1,407173
-2,4858999;1,407173
-2,4858499;1,407173
-2,4857999;1,407173
-2,4857499;1,407173
-2,4856999;1,407173
-2,4856499;1,407173
-2,4855999;1,454078
-2,4855499;1,407173
-2,4854999;1,407173
-2,4854499;1,407173
-2,4853999;1,407173
-2,4853499;1,407173
-2,4852999;1,407173
-2,4852499;1,454078
-2,4851999;1,407173
-2,4851499;1,407173
-2,4850999;1,407173
-2,4850499;1,407173
-2,4849999;1,360267
-2,4849499;1,407173
-2,4848999;1,407173
-2,4848499;1,407173
-2,4847999;1,407173
-2,4847499;1,407173
-2,4846999;1,407173
-2,4846499;1,454078
-2,4845999;1,407173
-2,4845499;1,407173
-2,4844999;1,407173
-2,4844499;1,407173
-2,4843999;1,407173
-2,4843499;1,407173
-2,4842999;1,407173
-2,4842499;1,407173
-2,4841999;1,407173
-2,4841499;1,407173
-2,4840999;1,407173
-2,4840499;1,407173
-2,4839999;1,407173
-2,4839499;1,454078
-2,4838999;1,407173
-2,4838499;1,454078
-2,4837999;1,407173
-2,4837499;1,407173
-2,4836999;1,454078
-2,4836499;1,407173
-2,4835999;1,407173
-2,4835499;1,407173
-2,4834999;1,407173
-2,4834499;1,407173
-2,4833999;1,407173
-2,4833499;1,407173
-2,4832999;1,407173
-2,4832499;1,407173
-2,4831999;1,360267
-2,4831499;1,407173
-2,4830999;1,407173
-2,4830499;1,407173
-2,4829999;1,407173
-2,4829499;1,407173
-2,4828999;1,407173
-2,4828499;1,407173
-2,4827999;1,407173
-2,4827499;1,407173
-2,4826999;1,407173
-2,4826499;1,407173
-2,4825999;1,407173
-2,4825499;1,407173
-2,4824999;1,407173
-2,4824499;1,407173
-2,4823999;1,407173
-2,4823499;1,407173
-2,4822999;1,407173
-2,4822499;1,407173
-2,4821999;1,407173
-2,4821499;1,407173
-2,4820999;1,407173
-2,4820499;1,407173
-2,4819999;1,407173
-2,4819499;1,360267
-2,4818999;1,407173
-2,4818499;1,407173
-2,4817999;1,407173
-2,4817499;1,407173
-2,4816999;1,454078
