Frequenz (Hz);A Spitze (V);B Spitze (mV);Phasenverschiebung (ms)
100;1,492;24,53;4,48
200;1,492;75,75;4,362
300;1,492;52,08;0,1
400;1,492;41,75;0,254
500;1,492;34,43;0,342
700;1,492;27,11;0,232
850;1,492;25,39;0,18
1000;1,492;26,68;0,18
1200;1,492;27,11;0,21
1500;1,492;26,68;0,201
1700;1,492;25,39;0,175
2000;1,492;24,1;0,179
3000;1,492;25,82;0,164
4000;1,492;27,54;0,155
5000;1,492;21,52;0,161
6000;1,492;31,85;0,152
10000;1,492;17,65;0,075
