Zeit;Kanal A
(ms);(mV)

-23,98166574;-0,18516240
-23,97666574;0,55610230
-23,97166574;0,18516240
-23,96666574;-0,37032480
-23,96166574;-0,37032480
-23,95666574;0,18516240
-23,95166575;-0,37032480
-23,94666575;-0,37032480
-23,94166575;0,74126480
-23,93666575;-0,74126480
-23,93166575;-0,74126480
-23,92666575;-0,74126480
-23,92166575;-0,37032480
-23,91666575;0,00000000
-23,91166575;0,92642710
-23,90666575;1,11220500
-23,90166575;1,29736700
-23,89666575;2,03924700
-23,89166575;2,59534900
-23,88666575;2,78051200
-23,88166575;2,59534900
-23,87666575;2,78051200
-23,87166575;2,59534900
-23,86666575;2,96628900
-23,86166575;2,96628900
-23,85666575;2,40957200
-23,85166575;1,66830700
-23,84666575;1,48314500
-23,84166575;1,48314500
-23,83666575;0,00000000
-23,83166575;-0,37032480
-23,82666575;-0,37032480
-23,82166575;-0,37032480
-23,81666575;-0,74126480
-23,81166575;-0,92642710
-23,80666575;0,00000000
-23,80166575;0,18516240
-23,79666575;0,55610230
-23,79166575;1,48314500
-23,78666575;1,29736700
-23,78166575;1,66830700
-23,77666575;1,66830700
-23,77166575;1,66830700
-23,76666575;1,66830700
-23,76166575;2,03924700
-23,75666575;0,74126480
-23,75166575;2,96628900
-23,74666575;2,40957200
-23,74166575;3,15145200
-23,73666575;2,59534900
-23,73166575;3,52239200
-23,72666575;4,07849400
-23,72166575;3,52239200
-23,71666575;3,52239200
-23,71166575;3,89271600
-23,70666575;4,26365700
-23,70166575;4,81975800
-23,69666575;4,63459600
-23,69166575;4,44943400
-23,68666575;4,26365700
-23,68166575;4,44943400
-23,67666575;3,70755400
-23,67166575;3,33661400
-23,66666575;2,96628900
-23,66166575;2,40957200
-23,65666575;1,66830700
-23,65166575;0,92642710
-23,64666575;1,11220500
-23,64166575;0,55610230
-23,63666575;0,37032480
-23,63166575;0,92642710
-23,62666575;0,55610230
-23,62166575;0,00000000
-23,61666575;0,37032480
-23,61166575;0,55610230
-23,60666575;0,37032480
-23,60166575;0,18516240
-23,59666575;0,00000000
-23,59166575;0,37032480
-23,58666575;0,37032480
-23,58166575;0,00000000
-23,57666575;-0,37032480
-23,57166575;0,55610230
-23,56666575;0,18516240
-23,56166575;0,55610230
-23,55666575;-0,37032480
-23,55166576;-0,18516240
-23,54666576;0,18516240
-23,54166576;0,74126480
-23,53666576;-0,55610230
-23,53166576;-0,74126480
-23,52666576;-0,55610230
-23,52166576;0,00000000
-23,51666576;-0,37032480
-23,51166576;0,00000000
-23,50666576;0,00000000
-23,50166576;0,18516240
-23,49666576;-0,37032480
-23,49166576;0,18516240
-23,48666576;0,55610230
-23,48166576;0,74126480
-23,47666576;0,37032480
-23,47166576;0,74126480
-23,46666576;0,55610230
-23,46166576;0,55610230
-23,45666576;0,55610230
-23,45166576;0,37032480
-23,44666576;0,55610230
-23,44166576;0,74126480
-23,43666576;0,74126480
-23,43166576;0,74126480
-23,42666576;0,55610230
-23,42166576;0,37032480
-23,41666576;0,18516240
-23,41166576;0,18516240
-23,40666576;0,74126480
-23,40166576;0,18516240
-23,39666576;-0,55610230
-23,39166576;-0,37032480
-23,38666576;-0,74126480
-23,38166576;-0,92642710
-23,37666576;-0,74126480
-23,37166576;-0,92642710
-23,36666576;-0,74126480
-23,36166576;-1,48314500
-23,35666576;-2,22440900
-23,35166576;-2,03924700
-23,34666576;-2,22440900
-23,34166576;-3,52239200
-23,33666576;-2,96628900
-23,33166576;-3,52239200
-23,32666576;-4,07849400
-23,32166576;-4,44943400
-23,31666576;-4,44943400
-23,31166576;-5,00553600
-23,30666576;-5,00553600
-23,30166576;-5,00553600
-23,29666576;-4,81975800
-23,29166576;-4,44943400
-23,28666576;-4,07849400
-23,28166576;-3,15145200
-23,27666576;-2,59534900
-23,27166576;-1,29736700
-23,26666576;-1,29736700
-23,26166576;-1,11220500
-23,25666576;0,00000000
-23,25166576;0,55610230
-23,24666576;0,37032480
-23,24166576;0,00000000
