# Frequenz: 6250 Hz
# Abtastrate: 7000 Samples/s
# Abtastpunkt, Wert
762, 2472
763, 1788
764, 1214
765, 986
766, 1208
767, 1782
768, 2452
769, 2964
770, 3088
771, 2768
772, 2140
773, 1472
774, 1046
775, 1042
776, 1460
777, 2126
778, 2756
779, 3082
780, 2980
781, 2482
782, 1796
783, 1216
784, 986
785, 1202
786, 1776
787, 2458
788, 2970
789, 3086
790, 2764
791, 2154
792, 1484
793, 1050
794, 1036
795, 1450
796, 2110
797, 2744
798, 3082
799, 2978
800, 2480
801, 1794
802, 1216
803, 986
804, 1194
805, 1758
806, 2446
807, 2962
808, 3088
809, 2770
810, 2150
811, 1480
812, 1050
813, 1038
814, 1452
815, 2114
816, 2748
817, 3082
818, 2986
819, 2490
820, 1810
821, 1226
822, 988
823, 1196
824, 1762
825, 2448
826, 2964
827, 3088
828, 2768
829, 2160
830, 1490
831, 1052
832, 1036
833, 1446
834, 2108
835, 2742
836, 3082
837, 2980
838, 2498
839, 1814
840, 1230
841, 986
842, 1192
843, 1758
844, 2442
845, 2960
846, 3088
847, 2776
848, 2154
849, 1484
850, 1052
851, 1032
852, 1436
853, 2096
854, 2734
855, 3080
856, 2986
857, 2494
858, 1810
859, 1226
860, 988
861, 1192
862, 1760
863, 2432
864, 2954
865, 3090
866, 2784
867, 2164
868, 1492
869, 1054
870, 1036
871, 1440
872, 2104
873, 2738
874, 3078
875, 2990
876, 2504
877, 1818
878, 1230
879, 988
880, 1190
881, 1754
882, 2438
883, 2958
884, 3092
885, 2788
886, 2172
887, 1496
888, 1056
889, 1034
890, 1438
891, 2100
892, 2722
893, 3076
894, 2992
895, 2502
896, 1820
897, 1230
898, 988
899, 1190
900, 1738
901, 2426
902, 2952
903, 3090
904, 2786
905, 2166
906, 1494
907, 1060
908, 1034
909, 1430
910, 2088
911, 2728
912, 3078
913, 2990
914, 2500
915, 1834
916, 1242
917, 986
918, 1182
919, 1740
920, 2428
921, 2952
922, 3092
923, 2784
924, 2184
925, 1510
926, 1062
927, 1030
928, 1424
929, 2084
930, 2724
931, 3076
932, 2994
933, 2504
934, 1822
935, 1246
936, 988
937, 1178
938, 1734
939, 2422
940, 2948
941, 3092
942, 2792
943, 2174
944, 1514
945, 1064
946, 1028
947, 1422
948, 2080
949, 2720
950, 3078
951, 2992
952, 2520
953, 1840
954, 1246
955, 988
956, 1178
957, 1734
958, 2422
959, 2948
960, 3092
961, 2802
962, 2190
963, 1512
964, 1062
965, 1028
966, 1424
967, 2082
968, 2710
969, 3074
970, 3000
971, 2520
972, 1838
973, 1246
974, 988
975, 1178
976, 1734
977, 2406
978, 2942
979, 3094
980, 2800
981, 2188
982, 1514
983, 1064
984, 1028
985, 1420
986, 2078
987, 2706
988, 3072
989, 3002
990, 2520
991, 1844
992, 1248
993, 988
994, 1174
995, 1728
996, 2416
997, 2946
998, 3096
999, 2806
