# Frequenz: 4750 Hz
# Abtastrate: 7000 Samples/s
# Abtastpunkt, Wert
355, 2272
356, 2880
357, 1100
358, 2006
359, 3014
360, 1248
361, 1750
362, 3090
363, 1456
364, 1498
365, 3094
366, 1684
367, 1292
368, 3038
369, 1948
370, 1132
371, 2916
372, 2210
373, 1028
374, 2742
375, 2460
376, 986
377, 2512
378, 2698
379, 1014
380, 2266
381, 2884
382, 1104
383, 2004
384, 3016
385, 1254
386, 1742
387, 3088
388, 1454
389, 1502
390, 3096
391, 1686
392, 1294
393, 3038
394, 1960
395, 1126
396, 2910
397, 2222
398, 1024
399, 2732
400, 2472
401, 984
402, 2514
403, 2698
404, 1014
405, 2264
406, 2884
407, 1104
408, 2004
409, 3016
410, 1254
411, 1742
412, 3090
413, 1464
414, 1490
415, 3094
416, 1700
417, 1284
418, 3030
419, 1960
420, 1126
421, 2910
422, 2220
423, 1024
424, 2736
425, 2472
426, 986
427, 2514
428, 2696
429, 1014
430, 2254
431, 2890
432, 1110
433, 1990
434, 3022
435, 1262
436, 1732
437, 3090
438, 1464
439, 1490
440, 3094
441, 1698
442, 1284
443, 3034
444, 1958
445, 1126
446, 2912
447, 2222
448, 1024
449, 2722
450, 2484
451, 986
452, 2502
453, 2708
454, 1014
455, 2254
456, 2892
457, 1110
458, 1992
459, 3020
460, 1262
461, 1730
462, 3088
463, 1462
464, 1490
465, 3094
466, 1698
467, 1276
468, 3030
469, 1970
470, 1124
471, 2904
472, 2232
473, 1022
474, 2722
475, 2482
476, 982
477, 2504
478, 2704
479, 1014
480, 2244
481, 2896
482, 1114
483, 1984
484, 3024
485, 1268
486, 1724
487, 3090
488, 1468
489, 1484
490, 3094
491, 1706
492, 1280
493, 3030
494, 1966
495, 1118
496, 2900
497, 2240
498, 1020
499, 2718
500, 2490
501, 986
502, 2498
503, 2710
504, 1008
505, 2248
506, 2894
507, 1112
508, 1988
509, 3028
510, 1274
511, 1714
512, 3092
513, 1478
514, 1478
515, 3092
516, 1714
517, 1274
518, 3026
519, 1974
520, 1118
521, 2902
522, 2236
523, 1020
524, 2722
525, 2496
526, 986
527, 2488
528, 2720
529, 1020
530, 2242
531, 2900
532, 1118
533, 1976
534, 3026
535, 1270
536, 1718
537, 3092
538, 1478
539, 1478
540, 3092
541, 1712
542, 1274
543, 3028
544, 1974
545, 1112
546, 2896
547, 2248
548, 1018
549, 2712
550, 2496
551, 986
552, 2488
553, 2720
554, 1020
555, 2238
556, 2900
557, 1118
558, 1978
559, 3026
560, 1270
561, 1706
562, 3094
563, 1484
564, 1470
565, 3090
566, 1722
567, 1268
568, 3026
569, 1982
570, 1112
571, 2896
572, 2244
573, 1018
574, 2704
575, 2504
576, 986
577, 2482
578, 2724
579, 1020
580, 2234
581, 2902
582, 1120
583, 1974
584, 3034
585, 1282
586, 1702
587, 3094
588, 1486
589, 1468
590, 3092
591, 1724
592, 1260
593, 3024
594, 1984
595, 1114
596, 2896
597, 2256
598, 1016
599, 2704
600, 2510
601, 986
602, 2480
603, 2726
604, 1022
605, 2232
606, 2906
607, 1120
608, 1970
609, 3030
610, 1286
611, 1698
612, 3096
613, 1492
614, 1458
615, 3090
616, 1730
617, 1262
618, 3022
619, 1992
620, 1106
621, 2892
622, 2252
623, 1016
624, 2708
625, 2502
626, 986
627, 2472
628, 2732
629, 1024
630, 2222
631, 2910
632, 1126
633, 1960
634, 3032
635, 1284
636, 1700
637, 3094
638, 1488
639, 1466
640, 3088
641, 1738
642, 1258
643, 3018
644, 1996
645, 1108
646, 2890
647, 2256
648, 1016
649, 2704
650, 2516
651, 986
652, 2470
653, 2736
654, 1024
655, 2220
656, 2912
657, 1126
658, 1960
659, 3034
660, 1284
661, 1700
662, 3098
663, 1502
664, 1452
665, 3088
666, 1744
667, 1254
668, 3016
669, 2000
670, 1106
671, 2886
672, 2264
673, 1014
674, 2700
675, 2510
676, 986
677, 2464
678, 2738
679, 1026
680, 2214
681, 2914
682, 1130
683, 1952
684, 3038
685, 1288
686, 1694
687, 3094
688, 1494
689, 1448
690, 3088
691, 1746
692, 1252
693, 3014
694, 2006
695, 1102
696, 2882
697, 2268
698, 1012
699, 2694
700, 2516
701, 986
702, 2460
703, 2744
704, 1028
705, 2208
706, 2918
707, 1132
708, 1948
709, 3036
710, 1292
711, 1690
712, 3096
713, 1510
714, 1446
715, 3086
716, 1748
717, 1250
718, 3014
719, 2012
720, 1100
721, 2880
722, 2274
723, 1012
724, 2692
725, 2520
726, 986
727, 2466
728, 2746
729, 1030
730, 2202
731, 2922
732, 1140
733, 1940
734, 3040
735, 1296
736, 1682
737, 3096
738, 1504
739, 1448
740, 3088
741, 1746
742, 1252
743, 3014
744, 2020
745, 1096
746, 2874
747, 2282
748, 1014
749, 2684
750, 2528
751, 986
752, 2458
753, 2744
754, 1028
755, 2204
756, 2920
757, 1134
758, 1944
759, 3038
760, 1304
761, 1672
762, 3098
763, 1514
764, 1438
765, 3086
766, 1758
767, 1244
768, 3010
769, 2020
770, 1096
771, 2874
772, 2282
773, 1010
774, 2684
775, 2530
776, 982
777, 2456
778, 2746
779, 1030
780, 2202
781, 2922
782, 1136
783, 1926
784, 3044
785, 1306
786, 1674
787, 3098
788, 1516
789, 1438
790, 3086
791, 1758
792, 1244
793, 3010
794, 2018
795, 1092
796, 2868
797, 2290
798, 1008
799, 2680
800, 2534
801, 988
802, 2452
803, 2748
804, 1034
805, 2186
806, 2930
807, 1142
808, 1922
809, 3044
810, 1306
811, 1670
812, 3098
813, 1516
814, 1438
815, 3086
816, 1772
817, 1234
818, 3006
819, 2032
820, 1092
821, 2868
822, 2290
823, 1006
824, 2680
825, 2536
826, 988
827, 2438
828, 2758
829, 1034
830, 2184
831, 2930
832, 1146
833, 1922
834, 3044
835, 1310
836, 1666
837, 3098
838, 1518
839, 1434
840, 3086
841, 1774
842, 1232
843, 3002
844, 2038
845, 1090
846, 2864
847, 2296
848, 1006
849, 2672
850, 2542
851, 988
852, 2442
853, 2756
854, 1034
855, 2190
856, 2936
857, 1148
858, 1916
859, 3048
860, 1314
861, 1660
862, 3098
863, 1526
864, 1430
865, 3082
866, 1770
867, 1234
868, 3006
869, 2032
870, 1086
871, 2858
872, 2304
873, 1006
874, 2668
875, 2548
876, 988
877, 2436
878, 2762
879, 1034
880, 2184
881, 2932
882, 1146
883, 1920
884, 3050
885, 1322
886, 1652
887, 3098
888, 1534
889, 1422
890, 3080
891, 1778
892, 1228
893, 3000
894, 2040
895, 1088
896, 2862
897, 2300
898, 1006
899, 2670
900, 2556
901, 988
902, 2428
903, 2768
904, 1038
905, 2174
906, 2936
907, 1150
908, 1912
909, 3050
910, 1318
911, 1654
912, 3098
913, 1530
914, 1426
915, 3082
916, 1790
917, 1224
918, 2998
919, 2050
920, 1084
921, 2854
922, 2314
923, 1004
924, 2660
925, 2556
926, 988
927, 2428
928, 2768
929, 1038
930, 2172
931, 2938
932, 1150
933, 1910
934, 3050
935, 1318
936, 1654
937, 3098
938, 1534
939, 1412
940, 3080
941, 1790
942, 1222
943, 2996
944, 2050
945, 1082
946, 2854
947, 2312
948, 1004
949, 2660
950, 2554
951, 988
952, 2430
953, 2776
954, 1042
955, 2162
956, 2944
957, 1158
958, 1898
959, 3052
960, 1326
961, 1644
962, 3098
963, 1540
964, 1414
965, 3080
966, 1786
967, 1222
968, 2998
969, 2048
970, 1080
971, 2846
972, 2322
973, 1002
974, 2652
975, 2564
976, 988
977, 2418
978, 2776
979, 1040
980, 2164
981, 2942
982, 1156
983, 1902
984, 3052
985, 1326
986, 1646
987, 3100
988, 1550
989, 1406
990, 3078
991, 1796
992, 1218
993, 2994
994, 2058
995, 1080
996, 2850
997, 2318
998, 1002
999, 2654
